127.0.0.1 - - [20/Dec/2018:09:10:20 +0900] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:10:22 +0900] "GET /GAMESOCKET/02_TETRIS_05.html HTTP/1.1" 200 23829
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:10:22 +0900] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:10:27 +0900] "GET /GAMESOCKET/02_TETRIS_05.html HTTP/1.1" 304 -
192.168.206.22 - - [20/Dec/2018:09:10:29 +0900] "GET /GAMESOCKET/omok HTTP/1.1" 101 -
192.168.206.22 - - [20/Dec/2018:09:10:31 +0900] "GET /GAMESOCKET/omok HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:11:13 +0900] "GET /GAMESOCKET/02_TETRIS_05.html HTTP/1.1" 304 -
192.168.206.22 - - [20/Dec/2018:09:11:15 +0900] "GET /GAMESOCKET/omok HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:11:34 +0900] "GET /GAMESOCKET/02_TETRIS_05.html HTTP/1.1" 304 -
192.168.206.22 - - [20/Dec/2018:09:11:36 +0900] "GET /GAMESOCKET/omok HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:12:50 +0900] "GET /GAMESOCKET/02_TETRIS_05.html HTTP/1.1" 200 23839
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:12:50 +0900] "GET /GAMESOCKET/02_TETRIS_05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:12:51 +0900] "GET /GAMESOCKET/02_TETRIS_05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:12:52 +0900] "GET /GAMESOCKET/02_TETRIS_05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:12:52 +0900] "GET /GAMESOCKET/02_TETRIS_05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:12:55 +0900] "GET /GAMESOCKET/02_TETRIS_05.html HTTP/1.1" 304 -
